date,% CP có giá trên SMA200,% CP có giá dưới SMA200,index
2022-12-13,0.10052910052910052,0.8994708994708995,1047.45
2022-12-14,0.10880829015544041,0.8911917098445596,1050.43
2022-12-15,0.1111111111111111,0.8888888888888888,1055.32
2022-12-16,0.09569377990430622,0.9043062200956937,1052.48
2022-12-19,0.09223300970873786,0.9077669902912622,1038.4
2022-12-20,0.0821256038647343,0.9178743961352657,1023.13
2022-12-21,0.09134615384615384,0.9086538461538461,1018.88
2022-12-22,0.09574468085106383,0.9042553191489362,1022.61
2022-12-23,0.10326086956521739,0.8967391304347826,1020.34
2022-12-26,0.06565656565656566,0.9343434343434344,985.21
2022-12-27,0.08465608465608465,0.9153439153439153,1004.57
2022-12-28,0.10555555555555556,0.8944444444444445,1015.66
2022-12-29,0.10303030303030303,0.896969696969697,1009.29
2022-12-30,0.12921348314606743,0.8707865168539326,1007.09
2023-01-03,0.11,0.89,1043.9
2023-01-04,0.11616161616161616,0.8838383838383839,1046.35
2023-01-05,0.12631578947368421,0.8736842105263158,1055.82
2023-01-06,0.11282051282051282,0.8871794871794871,1051.44
2023-01-09,0.11475409836065574,0.8852459016393442,1054.21
2023-01-10,0.15053763440860216,0.8494623655913979,1053.35
2023-01-11,0.143646408839779,0.856353591160221,1055.76
2023-01-12,0.1411764705882353,0.8588235294117648,1056.39
2023-01-13,0.14516129032258066,0.8548387096774194,1060.17
2023-01-16,0.125,0.875,1066.68
2023-01-17,0.16666666666666666,0.8333333333333334,1088.29
2023-01-18,0.16216216216216217,0.8378378378378378,1098.28
2023-01-19,0.17297297297297298,0.827027027027027,1108.08
2023-01-27,0.18407960199004975,0.8159203980099503,1117.1
2023-01-30,0.15813953488372093,0.8418604651162791,1102.57
2023-01-31,0.1990521327014218,0.8009478672985781,1111.18
2023-02-01,0.14414414414414414,0.8558558558558559,1075.97
2023-02-02,0.13846153846153847,0.8615384615384616,1077.59
2023-02-03,0.17204301075268819,0.8279569892473118,1077.15
2023-02-06,0.16939890710382513,0.8306010928961749,1089.29
2023-02-07,0.14736842105263157,0.8526315789473684,1065.84
2023-02-08,0.14754098360655737,0.8524590163934427,1072.22
2023-02-09,0.16111111111111112,0.8388888888888889,1064.03
2023-02-10,0.15591397849462366,0.8440860215053764,1055.3
2023-02-13,0.12886597938144329,0.8711340206185567,1043.7
2023-02-14,0.1564245810055866,0.8435754189944134,1038.64
2023-02-15,0.1712707182320442,0.8287292817679558,1048.2
2023-02-16,0.19473684210526315,0.8052631578947369,1058.29
2023-02-17,0.1945945945945946,0.8054054054054054,1059.31
2023-02-20,0.21951219512195122,0.7804878048780488,1086.69
2023-02-21,0.21568627450980393,0.7843137254901961,1082.23
2023-02-22,0.17733990147783252,0.8226600985221675,1054.28
2023-02-23,0.17258883248730963,0.8274111675126904,1053.66
2023-02-24,0.16477272727272727,0.8352272727272727,1039.56
2023-02-27,0.13297872340425532,0.8670212765957447,1021.25
2023-02-28,0.14942528735632185,0.8505747126436781,1024.68
2023-03-01,0.1793478260869565,0.8206521739130435,1040.55
2023-03-02,0.20588235294117646,0.7941176470588236,1037.61
2023-03-03,0.17647058823529413,0.8235294117647058,1024.77
2023-03-06,0.17486338797814208,0.825136612021858,1027.18
2023-03-07,0.21301775147928995,0.7869822485207101,1037.84
